"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19471","Should log in successfully","","Sun Mar 16 11:51:22 ICT 2025","broken","Sun Mar 16 11:51:41 ICT 2025","","Login Tests","",""
"","11814","Should sign up and stop at input pin code screen","","Sun Mar 16 11:51:50 ICT 2025","passed","Sun Mar 16 11:52:02 ICT 2025","","Sign Up Tests","",""
